strategy,symbol,total_fills,gross_profit,gross_loss,net_pnl,total_fees,profit_factor
robust_ensemble,TRXUSDT,8,0,3.09925,-3.09925,0.4787335,0.0
unknown,BTCUSDT,4,0,3.2669,-3.2669,0.47229208,0.0
unknown,ETHUSDT,2,0,7.24449,-7.24449,,0.0
robust_ensemble,ARBUSDT,9,0,11.14901,-11.14901,0.48445382,0.0
,ADAUSDT,20,0,0,,,0
,APEUSDT,11,0,0,,,0
,ARBUSDT,13,0,0,,,0
,ATOMUSDT,13,0,0,,,0
,AVAXUSDT,17,0,0,,,0
,BNBUSDT,14,0,0,,,0
,BTCUSDT,37,0,0,,,0
,DOGEUSDT,16,0,0,,,0
,DOTUSDT,15,0,0,,,0
,ETCUSDT,14,0,0,,,0
,ETHUSDT,33,0,0,,,0
,FILUSDT,12,0,0,,,0
,GUNUSDT,11,0,0,,,0
,LINKUSDT,14,0,0,,,0
,LTCUSDT,14,0,0,,,0
,NEARUSDT,14,0,0,,,0
,OPUSDT,11,0,0,,,0
,SOLUSDT,22,0,0,,,0
,TRXUSDT,13,0,0,,,0
,UNIUSDT,13,0,0,,,0
,XRPUSDT,32,0,0,,,0
,ZKPUSDT,18,0,0,,,0
robust_ensemble,ADAUSDT,7,0,0,,,0
robust_ensemble,APEUSDT,6,0,0,,,0
robust_ensemble,ATOMUSDT,6,0,0,,,0
robust_ensemble,AVAXUSDT,7,0,0,,,0
robust_ensemble,BNBUSDT,5,0,0,,,0
robust_ensemble,BTCUSDT,7,0,0,,,0
robust_ensemble,DOGEUSDT,7,0,0,,,0
robust_ensemble,DOTUSDT,6,0,0,,,0
robust_ensemble,ETCUSDT,6,0,0,,,0
robust_ensemble,ETHUSDT,6,0,0,,,0
robust_ensemble,FILUSDT,7,0,0,,,0
robust_ensemble,LINKUSDT,8,0,0,,,0
robust_ensemble,LTCUSDT,7,0,0,,,0
robust_ensemble,NEARUSDT,7,0,0,,,0
robust_ensemble,OPUSDT,9,0,0,,,0
robust_ensemble,SOLUSDT,7,0,0,,,0
robust_ensemble,UNIUSDT,5,0,0,,,0
robust_ensemble,XRPUSDT,9,0,0,,,0
unknown,ATOMUSDT,2,0,0,,,0
unknown,BNBUSDT,3,0,0,,,0
unknown,DOGEUSDT,1,0,0,,,0
unknown,ETCUSDT,1,0,0,,,0
unknown,LINKUSDT,1,0,0,,,0
unknown,LTCUSDT,1,0,0,,,0
unknown,NEARUSDT,1,0,0,,,0
unknown,OPUSDT,1,0,0,,,0
unknown,SOLUSDT,2,0,0,,,0
unknown,TRXUSDT,1,0,0,,,0
unknown,UNIUSDT,1,0,0,,,0
unknown,XRPUSDT,1,0,0,,,0
