event_id,title,event_type,country_currency,impact_level,scheduled_utc,source,is_global,affected_symbols,confidence,notes
hist_ISM_MFG_20251202_1500,ISM Manufacturing PMI Nov 2025,ISM_MANUFACTURING_PMI,USD,HIGH,2025-12-02T15:00:00+00:00,manual_historical_backfill,true,,HIGH,US ISM Manufacturing PMI for November 2025
hist_ISM_SVC_20251204_1500,ISM Services PMI Nov 2025,ISM_SERVICES_PMI,USD,HIGH,2025-12-04T15:00:00+00:00,manual_historical_backfill,true,,HIGH,US ISM Services PMI for November 2025
hist_NFP_20251206_1330,Non-Farm Payrolls Nov 2025,NFP,USD,HIGH,2025-12-05T13:30:00+00:00,manual_historical_backfill,true,,HIGH,US Employment Situation Report November 2025
hist_UNEMP_20251206_1330,Unemployment Rate Nov 2025,UNEMPLOYMENT_RATE,USD,HIGH,2025-12-05T13:30:00+00:00,manual_historical_backfill,true,,HIGH,US Unemployment Rate November 2025
hist_AHE_20251206_1330,Average Hourly Earnings Nov 2025,AVERAGE_HOURLY_EARNINGS,USD,MEDIUM,2025-12-05T13:30:00+00:00,manual_historical_backfill,true,,HIGH,US Average Hourly Earnings November 2025
hist_CPI_20251211_1330,CPI Nov 2025,CPI,USD,HIGH,2025-12-11T13:30:00+00:00,manual_historical_backfill,true,,HIGH,US Consumer Price Index November 2025
hist_CORE_CPI_20251211_1330,Core CPI Nov 2025,CORE_CPI,USD,HIGH,2025-12-11T13:30:00+00:00,manual_historical_backfill,true,,HIGH,US Core CPI ex Food and Energy November 2025
hist_PPI_20251212_1330,PPI Nov 2025,PPI,USD,MEDIUM,2025-12-12T13:30:00+00:00,manual_historical_backfill,true,,HIGH,US Producer Price Index November 2025
hist_CORE_PPI_20251212_1330,Core PPI Nov 2025,CORE_PPI,USD,MEDIUM,2025-12-12T13:30:00+00:00,manual_historical_backfill,true,,HIGH,US Core PPI November 2025
hist_FOMC_20251218_1900,FOMC Rate Decision Dec 2025,FOMC,USD,HIGH,2025-12-18T19:00:00+00:00,manual_historical_backfill,true,,HIGH,Federal Open Market Committee interest rate decision December 2025
hist_GDP_20251219_1330,GDP Q3 2025 Final Estimate,GDP,USD,HIGH,2025-12-19T13:30:00+00:00,manual_historical_backfill,true,,HIGH,US GDP Third Estimate Q3 2025
hist_PCE_20251219_1330,PCE Price Index Nov 2025,PCE,USD,HIGH,2025-12-19T13:30:00+00:00,manual_historical_backfill,true,,HIGH,US Personal Consumption Expenditures Price Index November 2025
hist_CORE_PCE_20251219_1330,Core PCE Nov 2025,CORE_PCE,USD,HIGH,2025-12-19T13:30:00+00:00,manual_historical_backfill,true,,HIGH,US Core PCE November 2025
hist_ISM_MFG_20260102_1500,ISM Manufacturing PMI Dec 2025,ISM_MANUFACTURING_PMI,USD,HIGH,2026-01-02T15:00:00+00:00,manual_historical_backfill,true,,HIGH,US ISM Manufacturing PMI for December 2025
hist_FOMC_MIN_20260108_1900,FOMC Minutes Dec 2025,FOMC_MINUTES,USD,HIGH,2026-01-08T19:00:00+00:00,manual_historical_backfill,true,,HIGH,Federal Reserve minutes from December 2025 meeting
hist_ISM_SVC_20260107_1500,ISM Services PMI Dec 2025,ISM_SERVICES_PMI,USD,HIGH,2026-01-07T15:00:00+00:00,manual_historical_backfill,true,,HIGH,US ISM Services PMI for December 2025
hist_NFP_20260109_1330,Non-Farm Payrolls Dec 2025,NFP,USD,HIGH,2026-01-09T13:30:00+00:00,manual_historical_backfill,true,,HIGH,US Employment Situation Report December 2025
hist_UNEMP_20260109_1330,Unemployment Rate Dec 2025,UNEMPLOYMENT_RATE,USD,HIGH,2026-01-09T13:30:00+00:00,manual_historical_backfill,true,,HIGH,US Unemployment Rate December 2025
hist_AHE_20260109_1330,Average Hourly Earnings Dec 2025,AVERAGE_HOURLY_EARNINGS,USD,MEDIUM,2026-01-09T13:30:00+00:00,manual_historical_backfill,true,,HIGH,US Average Hourly Earnings December 2025
hist_CPI_20260115_1330,CPI Dec 2025,CPI,USD,HIGH,2026-01-15T13:30:00+00:00,manual_historical_backfill,true,,HIGH,US Consumer Price Index December 2025
hist_CORE_CPI_20260115_1330,Core CPI Dec 2025,CORE_CPI,USD,HIGH,2026-01-15T13:30:00+00:00,manual_historical_backfill,true,,HIGH,US Core CPI ex Food and Energy December 2025
hist_PPI_20260116_1330,PPI Dec 2025,PPI,USD,MEDIUM,2026-01-16T13:30:00+00:00,manual_historical_backfill,true,,HIGH,US Producer Price Index December 2025
hist_CORE_PPI_20260116_1330,Core PPI Dec 2025,CORE_PPI,USD,MEDIUM,2026-01-16T13:30:00+00:00,manual_historical_backfill,true,,HIGH,US Core PPI December 2025
hist_FOMC_20260129_1900,FOMC Rate Decision Jan 2026,FOMC,USD,HIGH,2026-01-29T19:00:00+00:00,manual_historical_backfill,true,,HIGH,Federal Open Market Committee interest rate decision January 2026
hist_GDP_ADV_20260130_1330,GDP Q4 2025 Advance Estimate,GDP,USD,HIGH,2026-01-30T13:30:00+00:00,manual_historical_backfill,true,,HIGH,US GDP Advance Estimate Q4 2025
hist_PCE_20260130_1330,PCE Price Index Dec 2025,PCE,USD,HIGH,2026-01-30T13:30:00+00:00,manual_historical_backfill,true,,HIGH,US Personal Consumption Expenditures Price Index December 2025
hist_CORE_PCE_20260130_1330,Core PCE Dec 2025,CORE_PCE,USD,HIGH,2026-01-30T13:30:00+00:00,manual_historical_backfill,true,,HIGH,US Core PCE December 2025
hist_ISM_MFG_20260203_1500,ISM Manufacturing PMI Jan 2026,ISM_MANUFACTURING_PMI,USD,HIGH,2026-02-03T15:00:00+00:00,manual_historical_backfill,true,,HIGH,US ISM Manufacturing PMI for January 2026
hist_ISM_SVC_20260205_1500,ISM Services PMI Jan 2026,ISM_SERVICES_PMI,USD,HIGH,2026-02-05T15:00:00+00:00,manual_historical_backfill,true,,HIGH,US ISM Services PMI for January 2026
hist_NFP_20260206_1330,Non-Farm Payrolls Jan 2026,NFP,USD,HIGH,2026-02-06T13:30:00+00:00,manual_historical_backfill,true,,HIGH,US Employment Situation Report January 2026
